text,sentiment,emotion,category
"เกมสนุกมาก",positive,joy,gameplay
"ตัวละครใหม่โกงเกินไป",negative,anger,character
"แพทช์นี้ดีขึ้นเยอะ",positive,joy,update
"เกมกระตุกมาก",negative,anger,performance
"กราฟิกสวยมาก",positive,joy,graphics
"สกินตัวนี้แพงไปหน่อยแต่สวยดี",neutral,surprise,skin;price
"ตัวละครใหม่เล่นสนุกมาก แต่สกิลแรงเกินไป",positive,surprise,character;gameplay
"บั๊กเยอะมากหลังอัปเดตรอบนี้ แก้ทีเถอะ",negative,anger,bug;update
"ระบบแรงค์ปีนยากจัง เหนื่อยมาก",negative,sadness,ranking
"อาวุธตัวนี้ op มาก nerf ทีครับ",negative,anger,weapon
"map ใหม่สวยและออกแบบมาดี",positive,joy,map
"ราคาสกินแพงเกินไปสำหรับกราฟิกแค่นี้",negative,anger,price;skin
"เกมนี้ op มาก โคตรสนุก 555555",positive,joy,gameplay
"ตัวนี้ broken af ทีมงานควรรีบแก้",negative,anger,character;bug
"แพทช์นี้ gg จริง ๆ ปรับบาลานซ์ดีมาก",positive,joy,update
